fnode,endnode,lngth,depot
-8536593.8466_4807089.7222,-8535527.8547_4810648.1467,4312.680359,0
-8535688.1457_4812891.9281,-8535590.9255_4813635.3738,1256.029659,0
-8537811.9862_4814680.8419,-8537910.7035_4812945.7167,1900.144752,0
-8540376.2861_4824564.0175,-8534937.4205_4824278.7112,6301.62028,0
-8544476.6261_4810023.6729,-8544074.8621_4810970.6544,1035.427989,0
-8547824.9424_4823916.8653,-8548479.2437_4823263.4186,941.9504899,0
-8550353.0642_4813900.7403,-8551849.6494_4811682.3523,2879.734377,0
-8536492.6669_4813655.0776,-8535514.665_4814046.2997,1119.144943,0
-8536115.2805_4811655.8506,-8535509.2102_4810623.5793,1211.592743,0
-8542733.5724_4806378.7797,-8540401.9628_4809047.8269,3941.946099,0
-8548325.4981_4823413.8321,-8547463.8629_4822932.7697,1036.822671,0
-8544425.6119_4804398.7057,-8547110.2055_4804273.0257,3306.69322,0
-8536560.8341_4815041.696,-8536648.805_4814632.7922,444.4251176,0
-8536397.1224_4823189.0461,-8536294.9067_4823103.9896,133.2370374,0
-8542177.0325_4810844.8406,-8544211.6189_4810699.9633,2338.38881,0
